STT,Tên doanh nghiệp,Địa chỉ,Tên sản phẩm,Mã hồ sơ,Nhóm sản phẩm,Ngày công bố,Ghi chú
36251,Công ty TNHH Balactan Việt Nam,"số 149, ngõ 268 ngọc thụy, đường ngọc thụy, Phường Ngọc Thụy, Quận Long Biên, Thành phố Hà Nội",Sản phẩm dinh dưỡng công thức pha sẵn ALFAKID GOLD,20.09.100.22530,,22-09-2020,
36252,CÔNG TY TNHH PHÁT TRIỂN THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU ORDER HIP,"tầng 7 tòa nhà nam hải lakeview lô 1-9a kđt vĩnh hoàng, ngõ 431,đường tam trinh, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Thành phố Hà Nội",BỘ DỤNG CỤ LÀM SUSHI,20.09.100.22529,,22-09-2020,
36257,CÔNG TY TNHH PHÁT TRIỂN MỸ NGHỆ VIỆT NAM,"số 169 bế văn đàn, Phường Quang Trung, Quận Hà Đông, Thành phố Hà Nội",BỘ CỐI CHÀY,20.09.100.22523,,22-09-2020,
36258,CÔNG TY CỔ PHẦN TÂN BẢO MINH HD,"số 1 bt13, khu đô thi ledeco, Thị trấn Trạm Trôi, Huyện Hoài Đức, Thành phố Hà Nội",Túi đựng thực phẩm có nút vặn bằng nhựa các kích cỡ,20.09.100.22522,,25-09-2020,
36259,CÔNG TY TNHH THẢO DƯỢC VŨ GIA,"xóm tân lập, cụm 13, thôn vĩnh ninh, Xã Vĩnh Quỳnh, Huyện Thanh Trì, Thành phố Hà Nội",Đông trùng hạ thảo Cordypharm,20.09.100.22520,,22-09-2020,
36261,Công Ty Cổ Phần Tập Đoàn Sunhouse,"Số 139, phố Nguyễn Thái Học, Phường Điện Biên, Quận Ba Đình, Thành phố Hà Nội",Chảo bầu anod Sunhouse SWP30B,20.09.100.22511,,21-09-2020,
36263,CÔNG TY CỔ PHẦN GOLDSUN VIỆT NAM,"Lô CN7 – cụm CN tập trung vừa và nhỏ, Phường Minh Khai, Quận Bắc Từ Liêm, Thành phố Hà Nội",Nồi cơm điện cao tần GRC5370,20.09.100.22509,,21-09-2020,
36266,CÔNG TY TNHH THỰC PHẨM TÂM AN HƯNG,"số 68 ngõ 85 đường bát khối, Phường Long Biên, Quận Long Biên, Thành phố Hà Nội",Thực phẩm bổ sung NANO CURCUMIN Q10,20.09.100.22506,,21-09-2020,
36268,Công ty TNHH Dược Phẩm Nasol Quốc Tế,"TT12-05 KĐT Văn Phú, Phường Phú La, Quận Hà Đông, Thành phố Hà Nội",Shoden ® (Ashwagandha extract)  – Chiết xuất nhân sâm Ấn Độ,20.09.100.22503,,22-09-2020,
36276,CÔNG TY CỔ PHẦN SẢN XUẤT VÀ THƯƠNG MẠI ĐỒNG TIẾN HÀ NỘI,"số 19A hẻm 41 ngách 62 ngõ 1 phố Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Thành phố Hà Nội",THẠCH YẾN SÀO,20.09.100.22494,,5/10/2020,
36277,Công ty Cổ phần phát triển Thương mại và Sản xuất Á Âu,"Số nhà 26, ngõ 63/5 Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành phố Hà Nội",Nguyên liệu TPCN: Damiana extract (Cao khô Đông hầu),20.09.100.22491,,18-09-2020,
36278,Công ty cổ phần Dược phẩm CPC1 Hà Nội,", , Huyện Thường Tín, Thành phố Hà Nội",Nguyên liệu sản xuất thực phẩm bảo vệ sức khỏe: Bột đông khô Bacillus subtilis,20.09.100.22489,,17-10-2020,Cty có CV
36280,CÔNG TY TNHH KAI VIỆT NAM,"lô i-1&2 khu công nghiệp thăng long, Xã Võng La, Huyện Đông Anh, Thành phố Hà Nội",DAO BẾP KAI,20.09.100.22485,,18-09-2020,
36281,CÔNG TY TNHH THANH AN,"P809 tầng 8, tòa nhà Plaschem, số 562 đường Nguyễn Văn Cừ, Phường Gia Thụy, Quận Long Biên, Thành phố Hà Nội",Bột Ngũ Cốc Ăn Kiêng - Dòng sản phẩm: Thực phẩm bổ sung,20.09.100.22483,,18-09-2020,công văn của công ty xin hủy số 60/CV/TA-2025 ngày 27/9/225
36282,Công ty TNHH Lock & Lock HN,"OF-17-18, R2-L2, 72A Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Thành phố Hà Nội",Chảo Rose Gold Lock&Lock,20.09.100.22482,,6/11/2020,
36285,CÔNG TY TNHH THƯƠNG MẠI EURO FITNESS NUTRITION VIỆT NAM,"Biệt thự TT3D-74 KĐT Phùng Khoang, Phường Trung Văn, Quận Nam Từ Liêm, Thành phố Hà Nội",BCAA XPRESS 280G APPLE,20.09.100.22478,,18-09-2020,
36288,Công ty TNHH sản xuất thương mại và phát triển Thạch Hà,"thôn sen trì, Xã Hạ Bằng, Huyện Thạch Thất, Thành phố Hà Nội",Nước uống đóng chai BeeJelly,20.09.100.22475,,18-09-2020,
36297,CÔNG TY TNHH XUẤT NHẬP KHẨU VÀ THƯƠNG MẠI DỊCH VỤ NAM PHÁT,"số 83 đường 23, Xã Thanh Lâm, Huyện Mê Linh, Thành phố Hà Nội",BỘT HƯƠNG VỊ BÁNH,20.09.100.22465,,17-09-2020,
36307,CÔNG TY TNHH MTV THƯƠNG MẠI VÀ DỊCH VỤ FRESH TO GO,"số 56 ngách 139 ngõ 56 phố thạch cầu, tổ 1, Phường Long Biên, Quận Long Biên, Thành phố Hà Nội",Cóc dầm muối ớt,20.09.100.22455,,16-05-2021,
36311,Công ty trách nhiệm hữu hạn chế biến lương thực thực phẩm Vạn Hương,"số 101 phố phúc tân, Phường Phúc Tân, Quận Hoàn Kiếm, Thành phố Hà Nội",SỮA ĐẬU XANH CÓ ĐƯỜNG,20.09.100.22450,,17-09-2020,
36342,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI VÀ CHẾ BIẾN THỰC PHẨM TÂM PHÁT,"246 xóm đông, thôn tiền, Xã Dục Tú, Huyện Đông Anh, Thành phố Hà Nội",Trà Ô Long,20.09.100.22415,,18-09-2020,
36348,"CÔNG TY TNHH MỘT THÀNH VIÊN SẢN XUẤT, DỊCH VỤ VÀ THƯƠNG MẠI MINH THƯ","xóm 3, thôn văn quán, Xã Văn Khê, Huyện Mê Linh, Thành phố Hà Nội",HẠT NHỰA TRAO ĐỔI ION,20.09.100.22409,,17-09-2020,
36354,CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI VÀ DỊCH VỤ T&TH,"43/98/33a trung kính, tổ 36 , Phường Trung Hoà, Quận Cầu Giấy, Thành phố Hà Nội",Thực phẩm dinh dưỡng y học Ensure Powder Vanilla 400g,20.09.100.22401,,16-09-2020,
36359,Công ty TNHH Imarket Việt Nam,"tầng 12, tòa nhà charmvit tower, số 117 đường trần duy hưng, Phường Trung Hoà, Quận Cầu Giấy, Thành phố Hà Nội",Khay nhựa đựng thức ăn,20.09.100.22396,,16-09-2020,
36369,CÔNG TY TNHH TRUYỀN THÔNG VÀ THƯƠNG MẠI TÂN NGUYÊN,"số nhà 27 tổ 2 khu tân xuân, Thị trấn Xuân Mai, Huyện Chương Mỹ, Thành phố Hà Nội",TỎI ĐEN LINH ĐAN ĐÔNG Á,20.09.100.22381,,17-09-2020,
36372,CÔNG TY TNHH TH& D VIỆT NAM,"bt ad 12-12b, khu dđô thị vinhomes riversides, Phường Việt Hưng, Quận Long Biên, Thành phố Hà Nội",LỌ NHỰA,20.09.100.22378,,16-09-2020,
36379,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI LKC VIỆT NAM,"số nhà 61, ngõ 14, phố văn la, Phường Phú La, Quận Hà Đông, Thành phố Hà Nội",Màng bọc thực phẩm PVC ( PVC CLING FILM),20.09.100.22370,,15-09-2020,
36382,CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN THẢO TRANG,"khu 9, Xã Chí Tiên, Huyện Thanh Ba, Tỉnh Phú Thọ",Thực phẩm bổ sung SLIM BODY MỘC CHI x2,20.09.100.22365,,17-09-2020,
36383,CÔNG TY TNHH THƯƠNG MẠI T.C.T,"số 9 (tầng 1), ngách 34/2, ngõ 28 nguyên hồng, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội",PHỤ GIA THỰC PHẨM BỘT THẠCH TCT6789 - 1,20.09.100.22364,,15-09-2020,
36387,CÔNG TY CỔ PHẦN TẬP ĐOÀN TGD,"Km 0+700, đường 16, xã Phù Lỗ, huyện Sóc Sơn, thành phố Hà Nội, Việt Nam, Xã Phù Lỗ, Huyện Sóc Sơn, Thành phố Hà Nội",Thực phẩm bổ sung: NiaciMilk Mom,20.09.100.22354,,15-09-2020,công văn xin hủy
36388,Công ty TNHH GIAFOOD VIỆT NAM,"số 4, dãy n3, ngõ 90 nguyễn tuân, Phường Thanh Xuân Trung, Quận Thanh Xuân, Thành phố Hà Nội",Nguyên liệu thực phẩm: Tinh chất mầm đậu nành isomax-WS5 soy isoflavone,20.09.100.22353,,13-10-2020,
36392,CÔNG TY TNHH OHKI VIỆT NAM,"phòng 302, tòa nhà ngọc khánh plaza, số 1 phạm huy thông, Phường Ngọc Khánh, Quận Ba Đình, Thành phố Hà Nội",OHKI GOZOEN,20.09.100.22341,,15-09-2020,
36393,Công ty TNHH Korea Ginseng Bio-science Việt Nam,"tổ 4, cụm công nghiệp quang minh, Thị trấn Quang Minh, Huyện Mê Linh, Thành phố Hà Nội",Nước uống Hồng sâm mật ong Biok,20.09.100.22340,,16-09-2020,
36395,Công ty TNHH Panasonic Việt Nam,"lô j1-j2, kcn thăng long, Xã Kim Chung, Huyện Đông Anh, Thành phố Hà Nội",Máy đánh trứng Panasonic MK-GB3WRA,20.09.100.22338,,15-09-2020,
36404,Công Ty TNHH Xuất Nhập Khẩu Hóa Sinh Dược Và Thiết Bị  Khoa Học Công Nghệ,"số 18, nhà 2c, đường hoàng quốc việt, Phường Nghĩa Đô, Quận Cầu Giấy, Thành phố Hà Nội",Nano Brocurma,20.09.100.22327,,15-09-2020,
36407,CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI SAMIC,"số 40 ngõ 35 cát linh, Phường Cát Linh, Quận Đống Đa, Thành phố Hà Nội",Chai thủy tinh (Glass Bottle),20.09.100.22321,,18-09-2020,
36408,CÔNG TY TNHH SAM VIỆT NAM,"tổ 1, Phường Phúc Lợi, Quận Long Biên, Thành phố Hà Nội",Phụ gia thực phẩm: K- 344 MISENI,20.09.100.22320,,18-06-2021,
36415,CÔNG TY CỔ PHẦN CÔNG NGHỆ DƯỢC ZORRO,"thôn Thụy Ứng, Xã Hòa Bình, Huyện Thường Tín, Thành phố Hà Nội",Nguyên liệu thực phẩm Sea Pearl Powder- Bột vỏ Hàu,20.09.100.22312,,9/11/2020,Công ty có công văn xin thu hồi hồ sơ số 08.2025/Cv-ZORRO ngày 21/8/2025
36416,CÔNG TY CỔ PHẦN ĐẦU TƯ VIETCUP,"22b, đường nguyễn du, Phường Quang Trung, Thành phố Hưng Yên, Tỉnh Hưng Yên",Nắp cốc giấy bằng nhựa PE,20.09.100.22311,,15-09-2020,
36419,CÔNG TY TNHH MTV VIỆT AN PHÁT,"số 26 ngõ 33 phố giang biên, Phường Giang Biên, Quận Long Biên, Thành phố Hà Nội",Nắp cốc bằng nhựa PET,20.09.100.22307,,15-09-2020,
36421,CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN HUY LINH,"số 27 thái thịnh, Phường Ngã Tư Sở, Quận Đống Đa, Thành phố Hà Nội",Nắp cốc bằng nhựa PET,20.09.100.22304,,14-09-2020,
36423,CÔNG TY TNHH THƯƠNG MẠI VIỆT HÀ,"12a24 nghĩa tân, Phường Nghĩa Tân, Quận Cầu Giấy, Thành phố Hà Nội",Cốc chống đổ 360 độ Munchkin có nắp 296ml.,20.09.100.22300,,15-09-2020,
36428,Công ty TNHH Thương Mại và Vận Tải Thái Tân,"Số 22 Phố Thể Giao, Phường Lê Đại Hành, Quận Hai Bà Trưng, Thành phố Hà Nội",Hương liệu thực phẩm: Chiết xuất Việt Quất: Blueberry Extract (FBE - 295),20.09.100.22293,,14-09-2020,
36429,Công ty Cổ phần Trà Chính Long,"số 57 b phố phan chu chinh, , Quận Hoàn Kiếm, Thành phố Hà Nội",TRÀ THANH GIẢI,20.09.100.22292,,2/12/2020,
36435,CÔNG TY CỔ PHẦN BIONATURE VIỆT NAM,"số 85, đường lê xuân điệp, tổ 20, Phường Kiến Hưng, Quận Hà Đông, Thành phố Hà Nội",L-Cysteine HCL Anhydrous 100 mesh,20.09.100.22284,,30-09-2020,
36436,CÔNG TY TNHH ĐẦU TƯ KM VIỆT NAM,"số nhà 83 ngách 99/110/85 định công, Phường Định Công, Quận Hoàng Mai, Thành phố Hà Nội",THỰC PHẨM BỔ SUNG AFORLAX GLU GOLD,20.09.100.22283,,14-09-2020,
36446,Công ty TNHH Dược phẩm Thái Nhiên,"Số nhà 30, tổ 6, Phường Giang Biên, Quận Long Biên, Thành phố Hà Nội",Vitacherry Montmorency Cherry Extract (Vitacherry Chiết xuất anh đào Montmorency),20.09.100.22269,,14-09-2020,
36450,CÔNG  TY  TNHH AN PHÚ,"Số 32, Tổ 12, Phường Long Biên, Quận Long Biên, Thành phố Hà Nội",CalCium Chloride dihydrate food Additive,20.09.100.22264,,14-09-2020,
36452,CÔNG TY TNHH SP GLOBAL,"BT1-D14, Lô BT-102, Khu đô thị mới Bắc An Khánh, Xã An Khánh, Huyện Hoài Đức, Thành phố Hà Nội",Thực phẩm bổ sung Korea Eundan Vitamin C,20.09.100.22262,,19-09-2020,
36453,Công ty TNHH Camic Việt Nam,"p818, tòa nhà plaschem, số 562 nguyễn văn cừ, Phường Gia Thụy, Quận Long Biên, Thành phố Hà Nội",Phụ gia thực phẩm: NATRI ERYTHORBATE (SODIUM ERYTHORBATE),20.09.100.22261,,14-09-2020,
36454,CÔNG TY TNHH STAR UP GROUP,"số nhà 27-tt26, khu đô thị văn phú, , Quận Hà Đông, Thành phố Hà Nội",SỮA HẠT ĐIỀU YẾN MẠCH ĐẬU XANH HẠT SEN,20.09.100.22260,,5/1/2021,
36457,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN GLINK MILK,"số 17, ngõ phú đình-thôn thượng trì, Xã Liên Hồng, Huyện Đan Phượng, Thành phố Hà Nội",Sản phẩm dinh dưỡng :Milk Colostrum,20.09.100.22249,,14-09-2020,
36464,CÔNG TY CỔ PHẦN Y DƯỢC ĐÔNG NAM Á,"số b28 tt12 khu đô thị văn quán, đường 19/5, Phường Văn Quán, Quận Hà Đông, Thành phố Hà Nội",Thực phẩm dinh dưỡng: Nature Goldmilk Plus,20.09.100.22239,,15-09-2020,
36465,CÔNG TY TNHH SYC VIỆT NAM,"tầng 3, số 50a, 52, 54 phố đội cấn, Phường Đội Cấn, Quận Ba Đình, Thành phố Hà Nội",THẠCH JELLY VỊ ĐÀO,20.09.100.22238,,21-09-2020,
36470,CÔNG TY TNHH QUỐC TẾ TRÍ QUÂN,"khu 7, Thị trấn Trạm Trôi, Huyện Hoài Đức, Thành phố Hà Nội",NGŨ CỐC BẦU BIDO MAMA,20.09.100.22233,,11/9/2020,
36483,CÔNG TY TNHH MTV TM & DV DATECO,"số 2a ngõ 196 đường khương đình, Phường Hạ Đình, Quận Thanh Xuân, Thành phố Hà Nội",Đông trùng hạ thảo DATECO,20.09.100.22220,,11/9/2020,
36484,CÔNG TY CỔ PHẦN DƯỢC PHẨM DINH DƯỠNG MIỀN BẮC HASOVI,"thôn yên xá, Xã Tân Triều, Huyện Thanh Trì, Thành phố Hà Nội",Thực phẩm bổ sung Weight Gain,20.09.100.22219,,11/9/2020,
36490,CÔNG TY CỔ PHẦN CÔNG NGHỆ MỚI NHẬT HẢI,"số 9 bt2 bán đảo linh đàm, Phường Hoàng Liệt, Quận Hoàng Mai, Thành phố Hà Nội",Nano Lutein OIC,20.09.100.22213,,6/10/2020,
36492,Công ty TNHH Tuyết Nga,"d5c-55, lô d5, ngõ 679, đường lạc long quân, Phường Phú Thượng, Quận Tây Hồ, Thành phố Hà Nội","Thiết bị, đồ dùng bằng kim loại",20.09.100.22211,,7/10/2020,
36506,DOANH NGHIỆP TƯ NHÂN ĐẦU TƯ VÀ XUẤT NHẬP KHẨU ANH VIỆT,"Số 5, ngõ Linh Quang A, Phường Văn Chương, Quận Đống Đa, Thành phố Hà Nội",PHOMAI MOZZARELLA CORNDOG,20.09.100.22197,,10/9/2020,
36509,CÔNG TY TNHH THỰC PHẨM ANFARMS,"22a đường tây hồ, Phường Quảng An, Quận Tây Hồ, Thành phố Hà Nội",Gà Rán AnDeli,20.09.100.22192,,10/9/2020,
36529,CÔNG TY TNHH TTL ĐẦU TƯ,"số 52 lô e21, khu tái định cư 2,8 ha, Phường Mai Dịch, Quận Cầu Giấy, Thành phố Hà Nội",BỘ LỒNG BÀN NHIỀU TẦNG,20.09.100.22165,,10/9/2020,
36533,Công Ty Tnhh Xuất Nhập Khẩu Hoàng Yến Việt Nam,"phòng 501, tầng 5, lô số b11, ngõ 280 đường hồ tùng mậu, Phường Phú Diễn, Quận Bắc Từ Liêm, Thành phố Hà Nội",Nước ép Chokeberry đen Yeoncheon DMZ,20.09.100.22158,,19-09-2020,
36535,CÔNG TY TNHH HÓA DƯỢC PHẨM HÀ NAM,"số  ngách 27 vĩnh hưng, Phường Vĩnh Hưng, Quận Hoàng Mai, Thành phố Hà Nội",Nguyên liệu thực phẩm L-Glutathione,20.09.100.22156,,10/9/2020,
36537,Công ty TNHH xuất nhập khẩu thương mại thực phẩm Nam Thắng,"số 39t, phố yên phụ, Phường Yên Phụ, Quận Tây Hồ, Thành phố Hà Nội",Bao đựng bột ngọt – Monosodium Glutamate Woven Bag,20.09.100.22153,,23-09-2020,
36540,VIỆN CÔNG NGHIỆP THỰC PHẨM,"301 Nguyễn Trãi, Phường Thanh Xuân Trung, Quận Thanh Xuân, Thành phố Hà Nội",TINH DÂU HOA MUI,20.09.100.22144,,11/9/2020,
36541,Công ty TNHH Dược Phẩm Hoàng Dương,"số 26, ngõ 152 phố hào nam, Phường Ô Chợ Dừa, Quận Đống Đa, Thành phố Hà Nội",Sữa chua khô Kiwigarden vị dâu tây - Không thêm đường,20.09.100.22142,,2/12/2020,
36542,Công ty TNHH Đầu Tư Thương Mại Ngân Linh,"số nhà 6, ngõ 38 phố lê trọng tấn, Phường Khương Mai, Quận Thanh Xuân, Thành phố Hà Nội",Thực phẩm bổ sung (váng sữa) Nestle P’tit Gourmand Vanille  – Vị vani,20.09.100.22139,,11/9/2020,
36546,CÔNG TY TNHH ĐẦU TƯ CÔNG NGHỆ VÀ THƯƠNG MẠI QUỐC TẾ THIÊN NHU,"số 1a, ngõ 162a, phố đông thiên, Phường Vĩnh Hưng, Quận Hoàng Mai, Thành phố Hà Nội",NƯỚC UỐNG ĐÓNG CHAI F@NCY,20.09.100.22132,,10/9/2020,
36578,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU VÀ PHÂN PHỐI VIỆT NHẬT,"thôn thông đạt, Xã Liệp Tuyết, Huyện Quốc Oai, Thành phố Hà Nội",Viên nang nhân sâm,20.09.100.22094,,23-06-2021,
36581,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VÀ ĐẦU TƯ THÔNG LAN,"số 5 ngõ 238/64 âu cơ, Phường Quảng An, Quận Tây Hồ, Thành phố Hà Nội",Nước đá dùng liền Thông Lan,20.09.100.22091,,9/9/2020,
36592,CÔNG TY TNHH MTV XUẤT NHẬP KHẨU VÀ PHÁT TRIỂN CÔNG NGHỆ NHẬT BẢN,"số 3e, ngách 10, ngõ 65 Võng Thị, Phường Bưởi, Quận Tây Hồ, Thành phố Hà Nội",TỎI ĐEN CHÍN SINH HỌC KOCHI,20.09.100.22076,,24-12-2020,
36596,Công ty TNHH Kem Ý Việt Nam,"số nhà 31, đường tô ngọc vân, Phường Quảng An, Quận Tây Hồ, Thành phố Hà Nội",Kem Hoa quả rừng ( Kem Latte Forest fruit),20.09.100.22071,,5/11/2020,
36612,CÔNG TY TNHH SẢN XUẤT DP CÔNG NGHỆ CAO NANOFRANCE,"cụm 1, thôn cống xuyên, Xã Nghiêm Xuyên, Huyện Thường Tín, Thành phố Hà Nội",Nguyên liệu IMMUNE KMAX,20.09.100.22053,,8/9/2020,
36617,Công ty Cổ phần tập đoàn IDD,"số 1, ngõ 25/7 đường vũ ngọc phan, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội",Túi lọc cà phê,20.09.100.22046,,8/9/2020,
36619,CÔNG TY TNHH SẢN XUẤT VÀ PHÂN PHỐI THĂNG LONG,"số 15/189/1 , phố hoàng hoa thám , , , Thành phố Hà Nội",Tinh dầu hạt thì là Ai Cập (Caraway Seeds Oil),20.09.100.22044,,8/9/2020,
36623,CÔNG TY CỔ PHẦN SUẤT ĂN HÀNG KHÔNG NỘI BÀI,"sân bay quốc tế nội bài, Xã Phú Minh, Huyện Sóc Sơn, Thành phố Hà Nội",Bánh Su kem vỏ giòn,20.09.100.22036,,8/9/2020,
36644,CÔNG TY CỔ PHẦN THỦ CÔNG MỸ NGHỆ S.A VIỆT NAM,"thôn tiên lữ, Xã Tiên Phương, Huyện Chương Mỹ, Thành phố Hà Nội",VẢI KHÔNG DỆT (NONWOVEN FABRIC),20.09.100.22010,,7/9/2020,
36654,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN HAMICO VIỆT NAM,"thôn phượng nghĩa, Xã Phụng Châu, Huyện Chương Mỹ, Thành phố Hà Nội",Hami Green canxi nano,20.09.100.21997,,3/7/2021,công văn xin thu hồi
36658,Công ty TNHH Công nghệ Thực phẩm Hoàng Phương,", , , Thành phố Hà Nội",Nước Me ép Ovinnis,20.09.100.21992,,26-09-2020,
36663,CÔNG TY CỔ PHẦN DINH DƯỠNG QUỐC TẾ NEWHOUSE VIỆT NAM,"tầng 4, số 9 nguyễn xiển, Phường Thanh Xuân Trung, Quận Thanh Xuân, Thành phố Hà Nội",Sản phẩm dinh dưỡng OGN MILK MAMA GOLD,20.09.100.21986,,1/10/2020,
36668,CÔNG TY CỔ PHẦN Y TẾ ĐỨC MINH,"số 51, ngõ 205, ngách 323/83, đường xuân đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Thành phố Hà Nội",Nguyên liệu thực phẩm GLUCAN 300®,20.09.100.21981,,3/11/2020,
36679,CÔNG TY TNHH POMO QUỐC TẾ,"Số 25 ngõ 7 phố Hoàng Minh Đạo, Phường Bồ Đề, Quận Long Biên, Thành phố Hà Nội, Việt Nam, Phường Bồ Đề, Quận Long Biên, Thành phố Hà Nội",BÌNH Ủ GIỮ NHIỆT DX-1530 1L,20.09.100.21970,,4/9/2020,
36682,Công ty cổ phần thiết bị và xây dựng Trường Sa,"Số nhà 41, ngách 251/8, đường Nguyễn Khang, Phường Yên Hoà, Quận Cầu Giấy, Thành phố Hà Nội",Vỏ bọc Collagen - Viscofan,20.09.100.21963,,4/9/2020,
36686,CÔNG TY CỔ PHẦN DINH DƯỠNG GREEN VIỆT NAM,"N4D, tổ 28, khu tái định cư X2B, Phường Yên Sở, Quận Hoàng Mai, Thành phố Hà Nội",Sản phẩm dinh dưỡng TASURE GOLD PEDIA A+,20.09.100.21959,,11/5/2021,
36712,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ PHÁT TRIỂN THIẾT BỊ Y TẾ SỐ 1 HÀ NỘI,"Khu Bãi Mít Cổ Loa, đường Đào Duy Tùng, Xã Cổ Loa, Huyện Đông Anh, Thành phố Hà Nội",Nước uống đóng chai Lullaby,20.09.100.21932,,5/9/2020,
36727,VIỆN THỰC PHẨM CHỨC NĂNG,"tầng 14 cung trí thức thành phố hà nội, số 1 tôn thất thuyết, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội",IMMUNETAKA,20.09.100.21917,,3/9/2020,Đơn vị có công văn số 09/2025/CV-VIDS.XTN ngày 15/9/2025 về việc xin hủy các bản tự công bố sản phẩm
36729,CÔNG TY TNHH LÀNG BẮC BỘ,"số 14 ngô văn sở, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Thành phố Hà Nội",Cốt vị nấm đông cô,20.09.100.21914,,4/9/2020,
36740,HỘ KINH DOANH DƯƠNG VĂN THĂNG,"số 21, tổ 11, Phường Thạch Bàn, Quận Long Biên, Thành phố Hà Nội",Nước đá dùng liền Hồng Hà,20.09.100.21897,,3/9/2020,
36741,CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐẦU TƯ HSC – CHI NHÁNH HÀ NỘI,"Căn số P2-01 Khu đô thị Hà Nội Garden City, Phường Thạch Bàn, Quận Long Biên, Thành phố Hà Nội",Mỳ Mug Udon ăn liền,20.09.100.21896,,7/9/2020,
36742,CƠ SỞ ĐÁ SẠCH ĐỨC ANH,"số 28 hoàng ngân, Phường Trung Hoà, Quận Cầu Giấy, Thành phố Hà Nội",Nước đá dùng liền Đức Anh.,20.09.100.21894,,3/9/2020,
36747,CÔNG TY TNHH MAY-T COSMETICS,"thôn đại đồng 1+2, , Huyện Cẩm Thủy, Tỉnh Thanh Hóa",MỘC NHAN BỘT TRÁI CÂY KẾT HỢP COLLAGEN,20.09.100.21888,,1/9/2020,
36749,Công ty TNHH COMMO VINA,"số 18, phố mễ trì hạ, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội","BỘ SẢN PHẨM NỒI, LỒNG HẤP VÀ NỒI HẤP 4 LỚP BẰNG INOX",20.09.100.21886,,1/9/2020,
