Tên công ty,Mã số thuế,Người đại diện,Địa chỉ
CHI NHÁNH CÔNG TY CỔ PHẦN CÔNG NGHIỆP VÀ THIẾT BỊ CHIẾU SÁNG DUHAL-NHÀ MÁY SẢN XUẤT THIẾT BỊ CHIẾU SÁNG DUHAL-TÂN MỸ CHÁNH,1200512952-005,Mã số thuế: 1200512952-005,"Lô 30-31 Cụm công nghiệp Tân Mỹ Chánh, Phường 9, Thành phố Mỹ Tho, Tỉnh Tiền Giang, Việt Nam"
CÔNG TY CỔ PHẦN NĂNG LƯỢNG XANH GIA PHÚ,0105326337,Mã số thuế: 0105326337,"Số 516, đường Trần Khát Chân, Phường Thanh Nhàn, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ HỒNG ĐỨC,0310451965,Mã số thuế: 0310451965,"38 Đường Kinh Số 1, Khu phố 5, Phường Tân Tạo A, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY CỔ PHẦN THIẾT BỊ CHIẾU SÁNG ÁNH SAO SÀI GÒN,0311679673,Mã số thuế: 0311679673,"407/8 Sư Vạn Hạnh nối dài, Phường 12, Quận 10, Thành phố Hồ Chí Minh, Việt Nam"
XƯỞNG SẢN XUẤT GIA CÔNG ÁNH DƯƠNG - CÔNG TY CỔ PHẦN ÁNH DƯƠNG,3800377674-004,Mã số thuế: 3800377674-004,"Lô 33, đường số 7, Khu Công Nghiệp Tam Phước, Phường Tam Phước, Thành phố Biên Hoà, Đồng Nai"
CHI NHÁNH DNTN SẢN XUẤT THƯƠNG MẠI AN LẠC,0306045583-001,Mã số thuế: 0306045583-001,"70/6A Đường số 92, Tổ 12, Ấp Bến Đò 1, Tân Phú Trung, Huyện Củ Chi, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI THIẾT BỊ ĐIỆN TRỌNG TÍN - XƯỞNG LẮP RÁP THIẾT BỊ ĐIỆN,0304152967-005,Mã số thuế: 0304152967-005,"57B/47 Xa Lộ Hà Nội, Tổ 11, Khu phố 6, Phường Linh Trung, Quận Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ PHƯỚC NGUYÊN,0306899828-001,Mã số thuế: 0306899828-001,"326 Tân Hòa Đông, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH XÂY DỰNG THƯƠNG MẠI DỊCH VỤ FORTEK,3702505381,Mã số thuế: 3702505381,"Số 8 Lý Thường Kiệt, Khu phố Thắng Lợi 1, Phường Dĩ An, Thành phố Dĩ An, Tỉnh Bình Dương, Việt Nam"
CÔNG TY TNHH BÓNG ĐÈN VIỆT SÁNG,0313542057,Mã số thuế: 0313542057,"32/14 Đường 11, Phường Bình Thọ, Quận Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY CỔ PHẦN LED BÌNH MINH TÂY NAM BỘ,1801339974,Mã số thuế: 1801339974,"C9-14, đường số 03, KDC 586, Phường Phú Thứ, Quận Cái Răng, Thành phố Cần Thơ, Việt Nam"
CÔNG TY CP LED BÌNH MINH CỦA NGƯỜI KHUYẾT TẬT,4000970453,Mã số thuế: 4000970453,"Tổ 2, quốc lộ 1A, Xã Bình Nguyên, Huyện Thăng Bình, Tỉnh Quảng Nam, Việt Nam"
CÔNG TY TNHH AVANT GARDE DE STUDIO VIỆT NAM,0312999027,Mã số thuế: 0312999027,"258 Tô Ký, Phường Tân Chánh Hiệp, Quận 12, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH GIẢI PHÁP NĂNG LƯỢNG MỚI ENTECH,3702559796,Mã số thuế: 3702559796,"Số 293/38, Nguyễn Thị Minh Khai, tổ 5, khu phố 9, Phường Phú Hòa, Thành phố Thủ Dầu Một, Tỉnh Bình Dương, Việt Nam"
CÔNG TY TNHH ĐÈN THIỆN TÀI,0108068469,Mã số thuế: 0108068469,"Số 67 Nguyễn Công Trứ, Phường Đồng Nhân, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ TÂN BẢO KÝ L.A,1101591819,Mã số thuế: 1101591819,"Đường số 1, Khu công nghiệp Hải Sơn (1+2), Ấp Bình Tiền 2, Xã Đức Hòa Hạ, Huyện Đức Hoà, Tỉnh Long An, Việt Nam"
CÔNG TY CỔ PHẦN SẢN XUẤT VÀ THƯƠNG MẠI GIA QUANG,0105448127,Mã số thuế: 0105448127,"Cụm 7, Xã Hạ Mỗ, Huyện Đan Phượng, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH XUÂN CÁI VINA,3603548680,Mã số thuế: 3603548680,"Số 19, Đường số 15, KCN Biên Hòa II, Phường Long Bình Tân, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam"
CHI NHÁNH CÔNG TY CỔ PHẦN ROBOLED,0314190111-001,Mã số thuế: 0314190111-001,"688/61/37 Tân Kỳ Tân Qúy, KP15 , Phường Bình Hưng Hòa, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY CỔ PHẦN KINH DOANH THIẾT BỊ CHIẾU SÁNG HTH,0107819271-001,Mã số thuế: 0107819271-001,"Số 28, đường Lê Nin, Xã Nghi Phú, Thành phố Vinh, Tỉnh Nghệ An, Việt Nam"
CÔNG TY TNHH VIHUVINA,1000940453,Mã số thuế: 1000940453,"Nhà ông Phạm Văn Hướng, Thôn Trà Linh, Xã Thụy Liên, Huyện Thái Thụy, Tỉnh Thái Bình, Việt Nam"
CÔNG TY TNHH  ĐẠI QUANG,3700148543,Mã số thuế: 3700148543,"Số 195/5A, đường An Bình, Khu phố Bình Đường 3, Phường An Bình, Thành phố Dĩ An, Bình Dương"
