Tên công ty,Mã số thuế,Người đại diện,Địa chỉ
CỬA HÀNG SỐ 2 - CÔNG TY TNHH THƯƠNG MẠI HOÀNG THÁI THANH HÓA,2800151001-002,Mã số thuế: 2800151001-002,"Số 192 Lê Hoàn, Phường Lam Sơn, Thành phố Thanh Hoá, Tỉnh Thanh Hóa, Việt Nam"
CỬA HÀNG BÁN LẺ SỐ 1 - CÔNG TY TNHH THƯƠNG MẠI HOÀNG THÁI THANH HOÁ,2800151001-005,Mã số thuế: 2800151001-005,"Số 244A Bà Triệu, Phường Hàm Rồng, Thành phố Thanh Hoá, Tỉnh Thanh Hóa, Việt Nam"
CÔNG TY TNHH THƯƠNG MẠI VÀ SẢN XUẤT NỘI THẤT HD,0105411511,Mã số thuế: 0105411511,"Số 03, ngõ 143, phố Thúy Lĩnh, Phường Lĩnh Nam, Quận Hoàng Mai, Thành phố Hà Nội, Việt Nam"
CHI NHÁNH CÔNG TY CỔ PHẦN CỔ KIM MỸ NGHỆ HODOTA,0304316622-003,Mã số thuế: 0304316622-003,"Xã Thắng Hải, Huyện Hàm Tân, Tỉnh Bình Thuận, Việt Nam"
CHI NHÁNH CÔNG TY TNHH ĐÔNG DƯỢC ĐỒNG HƯNG ĐƯỜNG,0600444367-003,Mã số thuế: 0600444367-003,"148 Đường 11, Khu Phố 5, Phường Linh Xuân, Quận Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH PASTEUR - CÔNG TY CỔ PHẦN NAM XANH,0310195327-002,Mã số thuế: 0310195327-002,"156B Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY TNHH THẾ GIỚI NƯỚC HOA,0306063631-003,Mã số thuế: 0306063631-003,"228 Hai Bà Trưng , Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH TẠI THÀNH PHỐ HỒ CHÍ MINH - CÔNG TY CỔ PHẦN HỢP NHẤT THƯƠNG MẠI,0101988668-002,Mã số thuế: 0101988668-002,"Số 29 Đất Thánh, Phường 6, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH 2 CÔNG TY TNHH BẤT ĐỘNG SẢN SMARTLAND,0303270904-002,Mã số thuế: 0303270904-002,"29 Lê Văn Việt, Phường Hiệp Phú, Quận 9, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY TNHH KÍNH KIM CƯƠNG,3700676751-001,Mã số thuế: 3700676751-001,"Số 559 Đường Lê Hồng Phong, Khu phố 3, Phường Phú Hòa, Thành phố Thủ Dầu Một, Tỉnh Bình Dương, Việt Nam"
CÔNG TY CỔ PHẦN DƯỢC PHẨM BẮC NINH - CHI NHÁNH TẠI BẮC GIANG,2300220553-010,Mã số thuế: 2300220553-010,"Số 94 đường Hùng Vương, Phường Hoàng Văn Thụ, Thành phố  Bắc Giang, Tỉnh Bắc Giang, Việt Nam"
CÔNG TY TNHH DỊCH VỤ THUƠNG MẠI TỔNG HỢP ĐỒNG VIỆT - CỬA HÀNG RHYTHM,0302463357-011,Mã số thuế: 0302463357-011,"Tầng F2-2030, Khu phức hợp Cantavil An Phú, Số 1 đường Song Hành Xa Lộ Hà Nội, Phường An Phú, Quận 2, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY TNHH DỊCH VỤ THUƠNG MẠI TỔNG HỢP ĐỒNG VIỆT - CỬA HÀNG RHYTHM,0302463357-006,Mã số thuế: 0302463357-006,"3F-20B tầng 3, Khu The Crescent Mall, Số 101 Tôn Dật Tiên, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY TNHH DỊCH VỤ THUƠNG MẠI TỔNG HỢP ĐỒNG VIỆT - CỬA HÀNG RHYTHM,0302463357-005,Mã số thuế: 0302463357-005,"Tầng B2, Ô số 51 Khu Trung tâm thương mại - Tòa nhà Vincom Center B, Số 72 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY TNHH MỘT THÀNH VIÊN LAN PHƯƠNG,3602263146-001,Mã số thuế: 3602263146-001,"131/9-11 Nguyễn Cửu Đàm, Phường Tân Sơn Nhì, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY CỔ PHẦN CHI LAI,0302451753-001,Mã số thuế: 0302451753-001,"207 Điện Biên Phủ, Phường 06, Quận 3, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY CỔ PHẦN CHI LAI,0302451753-009,Mã số thuế: 0302451753-009,"Gian hàng 02-03, Tầng B1, Vincom Center A, số171 Đồng Khởi, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ MAI HOÀNG LONG,0304586347-001,Mã số thuế: 0304586347-001,"Số 3B, Đường Tôn Thất Thuyết, Phường 18, Quận 4, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY TNHH VĨ VĨ,0306374299-001,Mã số thuế: 0306374299-001,"154 Cộng Hòa, Phường 12, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH AN BÌNH PHÚ HỮU,0309977383,Mã số thuế: 0309977383,"44 D4 Đường Số 4, Khu dân cư Nam Long , Phường Phước Long B, Quận 9, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI CHÍN CHÍN,0311165999,Mã số thuế: 0311165999,"558 Nguyễn Đình Chiểu, Phường 04, Quận 3, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH 1 - CÔNG TY TNHH NGUYỄN ĐẶNG,3600973912-002,Mã số thuế: 3600973912-002,"C51, KP 5, Phường Bửu Long, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam"
CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI THIÊN NAM,0310073745-002,Mã số thuế: 0310073745-002,"Tòa Nhà Sài Gòn Tourist Plaza, Số 35 Bis- 45 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH - CÔNG TY TNHH ĐỒNG HỒ VÀ NỮ TRANG Q.U.E.E.N,0303093860-011,Mã số thuế: 0303093860-011,"Số 288, đường Phạm Văn Thuận, Khóm 2, Phường Thống Nhất, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam"
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI XUẤT NHẬP KHẨU THANH NGÂN,0317604025,Mã số thuế: 0317604025,"29A đường 542, tổ 11, ấp Bến Đình, Xã Nhuận Đức, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ VINH THÀNH,0304474636,Mã số thuế: 0304474636,"174/14 Đường số 20, Phường 5, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY CỔ PHẦN PHÂN PHỐI ĐIỆN QUANG - TRUNG TÂM PHÂN PHỐI ĐÀ NẴNG,0305027119-001,Mã số thuế: 0305027119-001,"Đường số 2, Khu Công nghiệp Hòa Cầm, Phường Hoà Thọ Tây, Quận Cẩm Lệ, Thành phố Đà Nẵng, Việt Nam"
CÔNG TY TNHH CƠ ĐIỆN LẠNH NGHỆ TĨNH,3001612547,Mã số thuế: 3001612547,"Số 01 ngách 03 ngõ 02 đường Vũ Diệm, tổ dân phố 4 Nam Hồng, Phường Nam Hồng Lĩnh, Tỉnh Hà Tĩnh, Việt Nam"
