Tên công ty,Mã số thuế,Người đại diện,Địa chỉ
CÔNG TY CỔ PHẦN CÔNG NGHỆ ARIO,4201956025,Mã số thuế: 4201956025,"Lô số B6 - LK2, Ô số 17, Khu B, Khu đô thị mới Lê Trọng Tấn - Geleximco, Phường Dương Nội, Quận Hà Đông, Thành phố Hà Nội, Việt Nam"
CHI NHÁNH 2 CÔNG TY CỔ PHẦN VINALED,0311167160-002,Mã số thuế: 0311167160-002,"714 Tân Kỳ Tân Quý, Phường Bình Hưng Hòa, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY CỔ PHẦN HẠ TẦNG ĐÔ THỊ TRƯỜNG THÀNH,0107654573,Mã số thuế: 0107654573,"Số 14 - 16, phố Hàm Long, Phường Phan Chu Trinh, Quận Hoàn Kiếm, Thành phố Hà Nội, Việt Nam"
CHI NHÁNH CÔNG TY TNHH MỘT THÀNH VIÊN CHIẾU SÁNG VÀ THIẾT BỊ ĐÔ THỊ : NHÀ MÁY CHẾ TẠO THIẾT BỊ CHIẾU SÁNG VÀ ĐÔ THỊ,0100106024-018,Mã số thuế: 0100106024-018,"Số 1, phố Vũ Đức Thận, Phường Việt Hưng, Quận Long Biên, Thành phố Hà Nội, Việt Nam"
CÔNG TY CỔ PHẦN CHIẾU SÁNG PHÚ VINH,0108349195,Mã số thuế: 0108349195,"Số nhà 11, Ngõ 220 phố Nam Dư, tổ 20, Phường Lĩnh Nam, Quận Hoàng Mai, Thành phố Hà Nội, Việt Nam"
CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ THIẾT BỊ ĐIỆN VŨ ANH,0108220360,Mã số thuế: 0108220360,"Số 15, ngõ 753/11 đường Nguyễn Khoái, Phường Thanh Trì, Quận Hoàng Mai, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI PHÚ AN LIGHTING,0107407775,Mã số thuế: 0107407775,"Số 1, ngõ 319, phố Vĩnh Hưng, Phường Thanh Trì, Quận Hoàng Mai, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH XÂY LẮP ĐIỆN CÔNG NGHIỆP THĂNG LONG,0108396364,Mã số thuế: 0108396364,"Số 22, tổ 15 phố Yên Duyên, Phường Yên Sở, Quận Hoàng Mai, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI QUỐC TẾ THÀNH PHÁT,0106197236,Mã số thuế: 0106197236,"Số 15 ngõ 27 đường Lý Sơn, Phường Ngọc Thuỵ, Quận Long Biên, Thành phố Hà Nội, Việt Nam"
CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN ĐIỆN CHIẾU SÁNG PHƯƠNG NAM,0105971104,Mã số thuế: 0105971104,"Số 24, ngõ 5, phố Nguyễn Văn Cừ, Phường Ngọc Lâm, Quận Long Biên, Thành phố Hà Nội, Việt Nam"
CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU QUANG MINH,0108406125,Mã số thuế: 0108406125,"Số 364 Đường Nguyễn Trãi, Phường Trung Văn, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam"
CÔNG TY CỔ PHẦN SẢN XUẤT THƯƠNG MẠI VÀ XÂY DỰNG HÀ AN,0107056439,Mã số thuế: 0107056439,"Số 6 ngách 27/41, ngõ 27, đường Tây Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH UNILAMP VIỆT NAM,0106761244,Mã số thuế: 0106761244,"Số 17, đường Dịch vụ 2, Phường Mộ Lao, Quận Hà Đông, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH YDY LIGHTING,3703156486,Mã số thuế: 3703156486,"Thửa đất số 02-49-62-78-79-612 tờ bản đồ số 38 và thửa đất số 61 tờ bản đồ 32, Khu phố Long Bình, Phường Khánh Bình, Thành phố Tân Uyên, Tỉnh Bình Dương, Việt Nam"
CÔNG TY TNHH NĂNG LƯỢNG CHIẾU SÁNG VIỆT NAM,0106409265,Mã số thuế: 0106409265,"Số 8, ngách 64/9, ngõ 64 Vũ Trọng Phụng, Phường Thanh Xuân Trung, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam"
