Tên công ty,Mã số thuế,Người đại diện,Địa chỉ
CÔNG TY TNHH XÂY DỰNG VÀ THƯƠNG MẠI VN - GROUP,2500591347,Mã số thuế: 2500591347,"Thôn Tiền Phong, Xã Tân Phong, Huyện Bình Xuyên, Tỉnh Vĩnh Phúc, Việt Nam"
CÔNG TY CỔ PHẦN GIẢI PHÁP VÀ THIẾT BỊ CHIẾU SÁNG VI LIGHT - NHÀ MÁY VI LIGHT HIỆP PHƯỚC,0314650714-001,Mã số thuế: 0314650714-001,"Đường 22A, Lô HT-F2-1, Khu F, Khu công nghiệp Hiệp Phước, Xã Hiệp Phước, Huyện Nhà Bè, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY CỔ PHẦN SẢN XUẤT VÀ KINH DOANH THIẾT BỊ CHIẾU SÁNG THÁI BÌNH DƯƠNG,3502215332,Mã số thuế: 3502215332,"Cụm công nghiệp - Tiểu thủ công nghiệp Hắc Dịch, Khu phố Trảng Cát, Phường Tân Thành, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY CỔ PHẦN THIẾT BỊ CƠ ĐIỆN TKC VIỆT NAM,0106078503,Mã số thuế: 0106078503,"Số 32, ngõ 65, tổ 11 Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH SHENZHEN LAMP TECHNOLOGY CO LTD,0318378107,Mã số thuế: 0318378107,"23 Lê Quốc Trinh, Phường Phú Thọ Hoà, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH TLC HÀ NAM,0700875920,Mã số thuế: 0700875920,"Khu Công nghiệp Châu Sơn, Phường Phù Vân, Tỉnh Ninh Bình, Việt Nam"
CÔNG TY TNHH ĐIỆN NƯỚC QUỐC TẾ ĐẠI DƯƠNG,2301017593,Mã số thuế: 2301017593,"Thôn Đường, Xã An Bình, Huyện Thuận Thành, Tỉnh Bắc Ninh, Việt Nam"
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU ÁNH SÁNG BÌNH MINH,2300749146,Mã số thuế: 2300749146,"Khu đô thị mới Đình Bảng, khu phố Chùa Dận, Phường Đình Bảng, Thành phố Từ Sơn, Tỉnh Bắc Ninh, Việt Nam"
CÔNG TY TNHH KỸ NGHỆ PHÁT TRIỂN ĐẠI AN,4101499590,Mã số thuế: 4101499590,"Cụm CN Truông Sỏi, Thị Trấn Tăng Bạt Hổ, Huyện Hoài Ân, Tỉnh Bình Định, Việt Nam"
CÔNG TY CỔ PHẦN SẢN XUẤT ĐẦU TƯ Q.K,1801484555,Mã số thuế: 1801484555,"166, Cách Mạng Tháng Tám, Phường Bùi Hữu Nghĩa, Quận Bình Thuỷ, Thành phố Cần Thơ, Việt Nam"
CÔNG TY TNHH MỘT THÀNH VIÊN THẮNG ÁNH SAO,1801415872,Mã số thuế: 1801415872,"206 Cách Mạng Tháng Tám, Phường Bùi Hữu Nghĩa, Quận Bình Thuỷ, Thành phố Cần Thơ, Việt Nam"
CÔNG TY CỔ PHẦN LED BÌNH MINH MIỀN TRUNG,0401552706,Mã số thuế: 0401552706,"03 Thanh Thủy, Phường Thanh Bình, Quận Hải Châu, Thành phố Đà Nẵng, Việt Nam"
CÔNG TY TNHH MỘT THÀNH VIÊN TRUNG THIÊN MINH,0401521779,Mã số thuế: 0401521779,"Số 14 Bàu Vàng 2, Phường Hoà Khánh Bắc, Quận Liên Chiểu, Thành phố Đà Nẵng, Việt Nam"
CHI NHÁNH 2 CÔNG TY TNHH LIGHTING SAIGON,3702712966-002,Mã số thuế: 3702712966-002,"137C Bùi Thị Xuân, Khu phố Tân Thắng, Phường Tân Bình, Thành phố Dĩ An, Tỉnh Bình Dương, Việt Nam"
CÔNG TY TNHH SX TM DV NHẬT MINH,0317015502,Mã số thuế: 0317015502,"120/29F Thích Quảng Đức, Phường 04, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH FUJI - NAM HÀ,0700816428,Mã số thuế: 0700816428,"Thôn Hạ Trang, Xã Liêm Phong, Huyện Thanh Liêm, Tỉnh Hà Nam, Việt Nam"
CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI TD THỦ ĐÔ,0107952146,Mã số thuế: 0107952146,"Thôn Ninh Sơn, Thị Trấn Chúc Sơn, Huyện Chương Mỹ, Thành phố Hà Nội, Việt Nam"
CÔNG TY CỔ PHẦN KHOA HỌC KỸ THUẬT BẮC VIỆT,0108078160,Mã số thuế: 0108078160,"Số 67, Phố Linh Lang, Phường Cống Vị, Quận Ba Đình, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH CHIẾU SÁNG TOLO VIỆT NAM,0106637261,Mã số thuế: 0106637261,"Số 18, ngõ 251 Kim Mã, Phường Kim Mã, Quận Ba Đình, Thành phố Hà Nội, Việt Nam"
CÔNG TY CỔ PHẦN ÁNH SÁNG THIÊN PHÚC,0106310869,Mã số thuế: 0106310869,"Số 52, phố Đốc Ngữ, Phường Vĩnh Phúc, Quận Ba Đình, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH LED PRO VKO,0108121803,Mã số thuế: 0108121803,"Số 244 phố Hoàng Công Chất, Phường Phúc Diễn, Quận Bắc Từ Liêm, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH KỸ THUẬT CÔNG NGHỆ NHẬT BẢN,0107387818,Mã số thuế: 0107387818,"số 29, ngõ 74, phố An Trạch, Phường Cát Linh, Quận Đống Đa, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH SẢN XUẤT VÀ ĐẦU TƯ THẢO NGUYÊN,0106951647,Mã số thuế: 0106951647,"Số 45, Ngách 48, Ngõ 119, phố Hồ Đắc Di, Phường Nam Đồng, Quận Đống Đa, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH ÁNH SÁNG TIẾN DƯ,0104349250,Mã số thuế: 0104349250,"Số 58 đường Thanh Quả, thôn Sinh Quả, Xã Bình Minh, Huyện Thanh Oai, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH THƯƠNG MẠI & THIẾT BỊ ĐIỆN - NHỰA ĐOÀN QUÂN,0106009482,Mã số thuế: 0106009482,"Số 16A, ngõ Văn Chương, Phường Văn Chương, Quận Đống Đa, Thành phố Hà Nội, Việt Nam"
CÔNG TY CP CHIẾU SÁNG NGÔI SAO,0106557672,Mã số thuế: 0106557672,"Ki ốt số 6 - CT1A - Đô thị Xa La, Phường Phúc La, Quận Hà Đông, Thành phố Hà Nội, Việt Nam"
CÔNG TY CỔ PHẦN THIẾT BỊ CHIẾU SÁNG NGÔI SAO,0106469994,Mã số thuế: 0106469994,"Ki ốt 6-CT1A-Đô thị Xa La, Phường Phúc La, Quận Hà Đông, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH ĐẦU TƯ VÀ XÂY DỰNG THƯƠNG MẠI ĐÔ THỊ PMA,0108312406,Mã số thuế: 0108312406,"Số 1 ngõ 48/36 đường 72, Phường Dương Nội, Quận Hà Đông, Thành phố Hà Nội, Việt Nam"
CÔNG TY CỔ PHẦN TẬP ĐOÀN SJ,0108147135,Mã số thuế: 0108147135,"Lô Liền kề 01.2, Dự án khu nhà Liền kề, tổ 2 Mỗ Lao, Phường Mộ Lao, Quận Hà Đông, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH ĐÈN HOA ĐĂNG,0106816599,Mã số thuế: 0106816599,"Số 67 Nguyễn Công Trứ, Phường Đồng Nhân, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam"
