Tên công ty,Mã số thuế,Người đại diện,Địa chỉ
CÔNG TY TNHH CUNG CẤP DỊCH VỤ QUÀ TẶNG VIỆT,0111418000,Mã số thuế: 0111418000,"Tầng 2, Tòa CT2 Ngô Thì Nhậm, Phường Hà Đông, Thành phố Hà Nội, Việt Nam"
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH FS INTERNATIONAL,0901226436-001,Mã số thuế: 0901226436-001,"Số 89 ngõ 98 Thái Hà, Phường Đống Đa, Thành phố Hà Nội, Việt Nam"
CÔNG TY CỔ PHẦN XÂY DỰNG VÀ CÔNG NGHỆ TADIC,0111418032,Mã số thuế: 0111418032,"Số nhà 15, ngõ 141, đường Trần Phú, Phường Hà Đông, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH TMDV THAO CHÍ FOR,0111418603,Mã số thuế: 0111418603,"Số 9 phố Tản Đà, Phường Hà Đông, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH GIAO NHẬN VẬN CHUYỂN THẢO AN,0111417617,Mã số thuế: 0111417617,"Số 16/1 Hà Huy Tập, Xã Phù Đổng, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH SẢN XUẤT CƠ KHÍ VÀ NỒI HƠI ĐÔNG ANH,0111413820,Mã số thuế: 0111413820,"Số 03, G02, Thôn 17, Xã Sóc Sơn, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH XA LA EXPRESS,0111418018,Mã số thuế: 0111418018,"LK2-VT36, Khu nhà ở Xa La , Phường Hà Đông, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH SẢN XUẤT MAY MẶC THỜI TRANG TRƯỜNG AN2,0111414373,Mã số thuế: 0111414373,"Số 1 Ngõ 92 Ngách 25A Đường Phương Bảng, Xã Sơn Đồng, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH NXB GROUP,0111418025,Mã số thuế: 0111418025,"Số 8, Ngõ 281 Chiến Thắng, Phường Hà Đông, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH THIẾT BỊ ĐIỆN TS,0111414285,Mã số thuế: 0111414285,"Số 55A, Xóm 10 Thôn Kim Hoàng, Xã Sơn Đồng, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH NAIL ROOM NL,0111418064,Mã số thuế: 0111418064,"LK09 - số nhà 19, Khu đô thị An Hưng, Phường Hà Đông, Thành phố Hà Nội, Việt Nam"
CHI NHÁNH CÔNG TY TNHH PHỤ TÙNG LIÊN LỤC ĐỊA,2500737606-001,Mã số thuế: 2500737606-001,"Tầng 1 và Tầng 2, Gian hàng kinh doanh số SO15, Chung Cư CT03 (A3), Dự án khu chức năng đô thị thành phố Xanh - Vinhomes Gardenia, Đường Hàm Nghi, Phường Từ Liêm, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH PROMEX VIỆT NAM,0111413676,Mã số thuế: 0111413676,"Nhà số 2, ngõ 25 đường Hạ Trại, tổ 31, Phường Long Biên, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH THỰC PHẨM NHẬP KHẨU MINH THÀNH,0111416444,Mã số thuế: 0111416444,"Số 45 ngõ 58 đường Việt Hưng, Phường Việt Hưng, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH MỘT THÀNH VIÊN FOCUS ON,0111404294,Mã số thuế: 0111404294,"Số 2B ngõ 325 phố Kim Ngưu, Phường Vĩnh Tuy, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH VÀNG BẠC ĐỨC AN,0111413891,Mã số thuế: 0111413891,"Số 33 Phố Định Công, Phường Phương Liệt, Thành phố Hà Nội, Việt Nam"
CHI NHÁNH CÔNG TY TNHH NLINK VIỆT NAM,0312425657-008,Mã số thuế: 0312425657-008,"L2-C06, Tầng 2, Block C số 175 Nguyễn Thái Học, Phường Ba Đình, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH THIẾT BỊ CÔNG NGHỆ THUẬN ĐẠT,0111417367,Mã số thuế: 0111417367,"Số nhà 17 Ngõ 10 Xóm Đình, Thôn Kim Bồng, Xã Ứng Hòa, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH MACRO DIY,0111419438,Mã số thuế: 0111419438,"Số 26, Đội 3, Quyết Tiến , Xã An Khánh, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH VẬN TẢI CÔNG SỬU,0111368744,Mã số thuế: 0111368744,"Số 21 Ngõ 58 Phố Trần Bình, Tổ 24, Phường Từ Liêm, Thành phố Hà Nội, Việt Nam"
"CÔNG TY TNHH DỊCH VỤ TƯ VẤN, ĐẦU TƯ BẤT ĐỘNG SẢN TIÊN PHONG",0111414951,Mã số thuế: 0111414951,"Tầng 6, Tòa nhà Icon4, Số 243A Đê La Thành, Phường Láng, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH HỒNG KÔNG FOOD,0111418674,Mã số thuế: 0111418674,"C31-BTSL2 ô 03 KĐT hai bên đường Lê Trọng Tấn Dương Nội, Phường Dương Nội, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH VIỄN THÔNG GCOM,0111413796,Mã số thuế: 0111413796,"Tầng 6, toà nhà Việt Á, Số 9 phố Duy Tân, Phường Cầu Giấy, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH Y TẾ HẬU ĐỨC,0111413813,Mã số thuế: 0111413813,"Số nhà 101 phố Phan Văn Trường, Phường Cầu Giấy, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH THƯƠNG MẠI VÀ DU LỊCH SƠN TÙNG,0111413806,Mã số thuế: 0111413806,"Lô B2D6, ngõ 75 Trần Thái Tông, Phường Cầu Giấy, Thành phố Hà Nội, Việt Nam"
CÔNG TY CỔ PHẦN LOORAN,0111418804,Mã số thuế: 0111418804,"Lô D10-1, Cụm công nghiệp làng nghề Tân Triều, thôn Triều Khúc, Phường Thanh Liệt, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH MAY MẶC NINE BLUES,0111414824,Mã số thuế: 0111414824,"Số 48, phố Cầu Đơ 3, Phường Hà Đông, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH NT 1992 HOME,0111418579,Mã số thuế: 0111418579,"Số nhà 23, Thôn Mơ Nồng, Xã Thạch Thất, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH THỜI TRANG VIETAURA,0111413644,Mã số thuế: 0111413644,"Số 171, Phố Cầu Bây, Phường Phúc Lợi, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH 1TV BÌNH AN LOGISTICS,0111413845,Mã số thuế: 0111413845,"Số 69 Ngõ Văn hóa Thôn Bắc Giã, Xã Sóc Sơn, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH THƯƠNG MẠI VISENCO,0111414052,Mã số thuế: 0111414052,"Số nhà 42, thôn Hương Gia, Xã Nội Bài, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH DL HOLDINGS,0111414817,Mã số thuế: 0111414817,"Tầng 6 tòa nhà hỗn hợp Sông Đà, số 131 Trần Phú, Phường Hà Đông, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH KHOA HỌC ĐÁ QUÝ HÀ NỘI,0111415916,Mã số thuế: 0111415916,"Số 8 ngách 4 ngõ 95 Hoàng Cầu, Phường Đống Đa, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH THƯƠNG MẠI PHÁT TRIỂN TÂN TRƯỜNG PHÁT,0111417896,Mã số thuế: 0111417896,"Số nhà 38 ngõ 151 đường Vĩnh Khang, Xã Ngọc Hồi, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH KỸ THUẬT CƠ KHÍ THƯƠNG MẠI DỊCH VỤ MẠNH DŨNG,0111404449,Mã số thuế: 0111404449,"Trục đường vành đai 3.5, Thôn Ải, Xã Hoài Đức, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH MỘC NGUYÊN SANG,0111398322,Mã số thuế: 0111398322,"Số 5 Nghĩa Phủ, Phường Sơn Tây, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH THƯƠNG MẠI ANH VŨ DRY FOOD,0111329382,Mã số thuế: 0111329382,"Xóm Đầm, Thôn 4, Xã Hưng Đạo, Thành phố Hà Nội, Việt Nam"
CÔNG TY CỔ PHẦN PHÁT TRIỂN NHÀ VÀ ĐÔ THỊ VINACCO,0111415761,Mã số thuế: 0111415761,"68 Trường Chinh, Phường Kim Liên, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH HẠ TẦNG HATAY,0111419420,Mã số thuế: 0111419420,"Xóm 3, thôn Đồng Nhân, Xã An Khánh, Thành phố Hà Nội, Việt Nam"
CÔNG TY CỔ PHẦN THƯƠNG MẠI CHERRI HAUS,0111384658,Mã số thuế: 0111384658,"Số 12 Đường Điện Biên Phủ, Phường Ba Đình, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH ÁNH DƯƠNG BẠC,0111415031,Mã số thuế: 0111415031,"Số nhà 65 ngõ 33 phố Chùa Láng, Phường Láng, Thành phố Hà Nội, Việt Nam"
