Tên công ty,Mã số thuế,Người đại diện,Địa chỉ
CÔNG TY TNHH DAIICHI DENSO BUHIN VIỆT NAM,2300564674,Mã số thuế: 2300564674,"Số 9, đường 9, KCN đô thị và dịch vụ VSIP Bắc Ninh, Phường Phù Chẩn, Thị xã Từ Sơn, Tỉnh Bắc Ninh, Việt Nam"
CÔNG TY TNHH WOOREE LEAD WIRE (VIỆT NAM),0303122279,Mã số thuế: 0303122279,"Khu phố Đông Chiêu, Phường Tân Đông Hiệp, Thành phố Dĩ An, Tỉnh Bình Dương, Việt Nam"
CÔNG TY CỔ PHẦN EUROLAMP VIỆT NAM,0105148349,Mã số thuế: 0105148349,"Số 22, ngõ 102, phố Yên Hòa, Phường Yên Hoà, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH CÔNG NGHỆ TIẾT KIỆM ĐIỆN,0105275890,Mã số thuế: 0105275890,"Thôn Đình Quán, Xã Phú Diễn, Huyện Từ Liêm, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH KỸ THUẬT KAMINT VIỆT NAM,3603715821,Mã số thuế: 3603715821,"Đường số N4, KCN Dệt May Nhơn Trạch, Thị trấn Hiệp Phước, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam"
CÔNG TY TNHH CÔNG NGHỆ ĐIỆN TỬ TAM HỒNG,0106958057,Mã số thuế: 0106958057,"Số 7/57, ngõ 293, đường Tam Trinh, Phường Yên Sở, Quận Hoàng Mai, Thành phố Hà Nội, Việt Nam"
CÔNG TY CỔ PHẦN E-SMART VIỆT NAM,0107026226,Mã số thuế: 0107026226,"Số 7, tổ 9, phố Định Công, Phường Định Công, Quận Hoàng Mai, Thành phố Hà Nội, Việt Nam"
CHI NHÁNH CÔNG TY TNHH MỘT THÀNH VIÊN LED TÂN QUANG MINH,0313536896-001,Mã số thuế: 0313536896-001,"352/3A Lê Văn Quới, Phường Bình Hưng Hòa A, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH XÂY DỰNG THƯƠNG MẠI CƠ KHÍ-ĐIỆN ĐẠT MINH,0314122418,Mã số thuế: 0314122418,"736/186/23 Lê Đức Thọ, Phường 15, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH ĐẦU TƯ SẢN XUẤT VINAMAX,0106832512,Mã số thuế: 0106832512,"Ngõ 3 đường Thanh Lãm, Phường Phú Lãm, Quận Hà Đông, Thành phố Hà Nội, Việt Nam"
